City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,30.22,80,90,14.97,overcast clouds
1,Rocha,UY,-34.4833,-54.3333,53.92,80,94,6.24,moderate rain
2,Cabo San Lucas,MX,22.8909,-109.9124,86.5,88,90,4.61,overcast clouds
3,Vaini,TO,-21.2,-175.2,77.16,83,75,12.66,broken clouds
4,Atuona,PF,-9.8,-139.0333,78.13,73,20,20.78,few clouds
5,Mataura,NZ,-46.1927,168.8643,53.47,79,100,3.02,overcast clouds
6,Thompson,CA,55.7435,-97.8558,62.38,48,32,3.09,scattered clouds
7,Manyana,BW,-23.4,21.7167,53.62,24,0,9.73,clear sky
8,Sisimiut,GL,66.9395,-53.6735,34.66,77,29,9.8,scattered clouds
9,Cidreira,BR,-30.1811,-50.2056,62.91,76,93,8.43,overcast clouds
10,Abatskoye,RU,56.2875,70.4555,32.72,98,100,5.68,overcast clouds
11,Dunedin,NZ,-45.8742,170.5036,53.8,82,95,3.0,overcast clouds
12,Oktyabrskiy,RU,54.4815,53.471,45.55,93,100,3.44,overcast clouds
13,Port Macquarie,AU,-31.4333,152.9167,74.89,46,0,5.3,clear sky
14,Hithadhoo,MV,-0.6,73.0833,82.53,74,14,11.63,few clouds
15,Kuryk,KZ,43.2,51.65,55.65,32,64,13.0,broken clouds
16,Puerto Santander,CO,8.3636,-72.4063,87.21,74,11,2.17,few clouds
17,Tocopilla,CL,-22.092,-70.1979,63.14,71,20,11.88,few clouds
18,Ushuaia,AR,-54.8,-68.3,42.46,75,40,20.71,scattered clouds
19,Flin Flon,CA,54.7682,-101.865,62.53,35,54,3.33,broken clouds
20,Parana,AR,-31.732,-60.5238,64.56,78,78,13.76,broken clouds
21,Saint George,US,37.1041,-113.5841,90.07,15,1,3.0,clear sky
22,Bandarbeyla,SO,9.4942,50.8122,79.07,79,50,19.42,light rain
23,Sao Filipe,CV,14.8961,-24.4956,79.47,82,40,10.36,scattered clouds
24,Kerman,IR,30.2832,57.0788,57.06,28,0,6.91,clear sky
25,Vardo,NO,70.3705,31.1107,49.12,84,99,27.49,overcast clouds
26,Maltahohe,NA,-24.8333,16.9833,52.18,34,0,12.68,clear sky
27,Tessalit,ML,20.1986,1.0114,89.49,13,97,8.97,overcast clouds
28,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,70,13.02,broken clouds
29,Norman Wells,CA,65.282,-126.8329,39.24,75,75,9.22,broken clouds
30,Vanimo,PG,-2.6741,141.3028,80.51,84,98,0.87,overcast clouds
31,Leshukonskoye,RU,64.8989,45.7622,39.49,87,80,3.8,broken clouds
32,Khatanga,RU,71.9667,102.5,15.13,97,63,1.92,broken clouds
33,Saskylakh,RU,71.9167,114.0833,20.5,97,100,3.62,overcast clouds
34,Zhigansk,RU,66.7697,123.3711,26.19,88,17,9.86,few clouds
35,Shimoda,JP,34.6667,138.95,73.11,74,32,14.25,scattered clouds
36,Victoria,HK,22.2855,114.1577,84.33,89,24,4.0,light rain
37,Hobart,AU,-42.8794,147.3294,57.11,98,75,1.01,broken clouds
38,Geraldton,AU,-28.7667,114.6,55.81,94,75,4.61,broken clouds
39,Mount Isa,AU,-20.7333,139.5,85.77,11,0,9.22,clear sky
40,Port Blair,IN,11.6667,92.75,80.29,81,100,11.07,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,69.69,87,90,9.93,overcast clouds
42,Quatre Cocos,MU,-20.2078,57.7625,71.1,74,54,12.53,broken clouds
43,Nemuro,JP,43.3236,145.575,57.58,73,57,17.2,broken clouds
44,Halifax,CA,44.6453,-63.5724,57.25,81,84,4.61,broken clouds
45,Katsuura,JP,35.1333,140.3,72.1,82,1,5.5,clear sky
46,Chuy,UY,-33.6971,-53.4616,54.66,84,37,7.05,scattered clouds
47,De-Kastri,RU,51.4667,140.7833,46.36,56,5,5.75,clear sky
48,Busselton,AU,-33.65,115.3333,48.09,53,100,13.13,overcast clouds
49,Rikitea,PF,-23.1203,-134.9692,72.88,70,25,22.66,scattered clouds
50,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,90,87,6.91,overcast clouds
51,Cape Town,ZA,-33.9258,18.4232,54.09,61,40,4.61,scattered clouds
52,Butaritari,KI,3.0707,172.7902,82.8,67,87,19.3,overcast clouds
53,Shirvan,AZ,39.9509,48.8994,61.21,60,100,4.88,overcast clouds
54,Vila Do Maio,CV,15.1333,-23.2167,79.59,80,21,12.62,few clouds
55,Port Alfred,ZA,-33.5906,26.891,54.1,64,51,22.55,light rain
56,Kavieng,PG,-2.5744,150.7967,83.5,68,94,5.97,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,20.71,broken clouds
58,Key West,US,24.5557,-81.7826,86.0,68,1,14.97,clear sky
59,Rawson,AR,-43.3002,-65.1023,47.28,43,42,20.94,scattered clouds
60,Airai,TL,-8.9266,125.4092,66.27,73,43,2.3,scattered clouds
61,Cascais,PT,38.6979,-9.4215,69.51,80,68,8.99,broken clouds
62,Ossora,RU,59.2353,163.0719,46.04,83,100,7.25,overcast clouds
63,Alyangula,AU,-13.8483,136.4192,81.86,64,87,11.3,overcast clouds
64,Gambela,ET,8.25,34.5833,69.51,94,100,1.34,overcast clouds
65,Kargasok,RU,59.0556,80.8572,31.26,97,99,2.82,overcast clouds
66,Arlit,NE,18.7369,7.3853,84.85,17,0,12.95,clear sky
67,Port Elizabeth,ZA,-33.918,25.5701,51.1,69,73,17.18,light rain
68,Kodiak,US,57.79,-152.4072,42.31,39,90,23.02,volcanic ash
69,Muscat,OM,23.6139,58.5922,80.62,71,100,30.42,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,30.25,74,84,5.03,broken clouds
71,Bredasdorp,ZA,-34.5322,20.0403,46.27,70,94,5.46,overcast clouds
72,Moron,AR,-34.6534,-58.6198,63.01,76,100,4.43,light rain
