City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2021-09-30 23:10:08,-20.4081,57.7,72.25,75,34,14.14
1,Ushuaia,AR,2021-09-30 23:10:08,-54.8,-68.3,44.26,45,20,5.75
2,Wamba,NG,2021-09-30 23:10:09,8.9333,8.6,72.55,92,99,2.39
3,Victoria,HK,2021-09-30 23:08:35,22.2855,114.1577,87.22,86,11,1.01
4,Cayenne,GF,2021-09-30 23:10:09,4.9333,-52.3333,83.08,78,0,3.0
5,Iquique,CL,2021-09-30 23:10:10,-20.2208,-70.1431,62.64,80,14,4.94
6,Zhezkazgan,KZ,2021-09-30 23:10:10,47.8043,67.7144,37.81,75,10,6.42
7,Paita,PE,2021-09-30 23:10:10,-5.0892,-81.1144,65.5,82,54,14.67
8,Port Elizabeth,ZA,2021-09-30 23:10:11,-33.918,25.5701,61.11,100,90,8.05
9,Sergiyevsk,RU,2021-09-30 23:10:11,53.9413,51.165,44.69,83,100,5.53
10,Busselton,AU,2021-09-30 23:10:12,-33.65,115.3333,61.09,88,69,17.45
11,Gornopravdinsk,RU,2021-09-30 23:10:12,60.05,69.9,33.75,89,96,10.45
12,Bredasdorp,ZA,2021-09-30 23:10:12,-34.5322,20.0403,56.28,98,66,2.37
13,Oistins,BB,2021-09-30 23:10:13,13.0667,-59.5333,84.29,70,40,12.66
14,Codrington,AU,2021-09-30 23:08:26,-38.2667,141.9667,56.44,96,99,20.07
15,Bay Roberts,CA,2021-09-30 23:10:13,47.5999,-53.2648,62.65,96,100,0.63
16,Cape Town,ZA,2021-09-30 23:06:04,-33.9258,18.4232,61.12,68,0,9.89
17,Manicore,BR,2021-09-30 23:10:14,-5.8092,-61.3003,80.08,68,90,0.56
18,Vilkaviskis,LT,2021-09-30 23:10:14,54.6517,23.0322,48.25,94,100,4.52
19,Torbay,CA,2021-09-30 23:10:15,47.6666,-52.7314,61.88,98,90,2.3
20,Jamestown,US,2021-09-30 23:10:15,42.097,-79.2353,54.84,77,1,1.99
21,Port Alfred,ZA,2021-09-30 23:10:15,-33.5906,26.891,61.99,92,15,4.68
22,Ciudad Bolivar,VE,2021-09-30 23:10:16,8.1222,-63.5497,84.02,61,98,10.13
23,Malanje,AO,2021-09-30 23:10:16,-9.5402,16.341,67.6,78,100,3.15
24,Sandy Bay,AU,2021-09-30 23:10:16,-42.913,147.3532,58.15,96,90,3.0
25,Bambous Virieux,MU,2021-09-30 23:10:17,-20.3428,57.7575,72.21,76,31,13.98
26,Grindavik,IS,2021-09-30 23:08:55,63.8424,-22.4338,43.27,75,75,19.57
27,Bin Qirdan,TN,2021-09-30 23:10:17,33.1378,11.2197,75.94,64,0,5.46
28,Qaanaaq,GL,2021-09-30 23:10:17,77.484,-69.3632,27.59,88,100,13.31
29,Mabaruma,GY,2021-09-30 23:10:18,8.2,-59.7833,77.0,85,100,3.89
30,Veydelevka,RU,2021-09-30 23:10:18,50.1521,38.4492,42.49,70,9,6.06
31,High Rock,BS,2021-09-30 23:10:19,26.6208,-78.2833,82.42,72,4,15.35
32,Aasiaat,GL,2021-09-30 23:10:19,68.7098,-52.8699,23.2,79,100,6.93
33,Souillac,MU,2021-09-30 23:09:22,-20.5167,57.5167,72.36,74,60,13.47
34,Ribeira Grande,PT,2021-09-30 23:06:54,38.5167,-28.7,71.89,84,13,2.04
35,Mitsamiouli,KM,2021-09-30 23:10:20,-11.3847,43.2844,75.87,82,47,8.39
36,Promyshlennyy,RU,2021-09-30 23:10:20,67.5833,63.9167,34.34,82,99,14.67
37,Tasiilaq,GL,2021-09-30 23:10:20,65.6145,-37.6368,35.76,89,5,5.26
38,Umm Lajj,SA,2021-09-30 23:10:21,25.0213,37.2685,81.1,66,0,5.88
39,Dikson,RU,2021-09-30 23:10:21,73.5069,80.5464,32.95,88,100,23.58
